temperature,humidity,precipitation,pressure
18.9,97,0.1,906.0
19.5,96,0.1,906.6
19.3,97,0.3,906.7
19.5,97,0.5,906.5
19.4,97,0.7,906.4
21.2,94,0.7,906.4
20.6,94,1.0,905.6
21.0,93,0.4,905.3
23.0,87,0.7,905.2
22.5,89,0.9,904.1
21.9,92,1.3,903.7
21.3,94,1.4,903.6
21.0,93,1.5,903.7
20.0,93,1.7,903.9
20.0,92,0.6,904.5
19.0,96,1.5,904.8
18.7,97,1.2,905.5
18.7,98,0.8,905.8
18.6,98,0.5,905.4
18.4,98,0.2,904.8
18.3,98,0.0,904.6
18.3,98,0.0,904.4
18.2,98,0.0,904.2
18.2,98,0.0,904.7
18.4,97,0.0,905.5
18.9,97,0.1,905.9
19.1,97,0.2,906.2
20.1,93,0.0,906.6
21.7,88,0.1,907.0
22.4,85,0.1,906.8
21.9,89,0.8,906.1
20.5,94,0.6,905.3
21.1,92,0.5,905.0
23.5,79,0.0,904.9
24.2,75,0.0,904.7
22.4,88,0.8,904.4
20.6,92,1.7,904.1
19.9,93,1.6,904.5
19.7,94,1.2,904.9
19.5,93,0.3,905.7
19.2,94,0.1,906.6
18.6,96,0.9,906.8
18.3,97,0.6,906.1
18.2,97,0.0,905.7
18.2,97,0.0,905.4
18.1,97,0.1,905.2
18.1,97,0.0,905.2
18.1,97,0.0,905.7
18.3,97,0.0,906.4
18.5,97,0.0,906.8
18.9,96,0.0,907.0
18.8,97,0.2,907.0
18.8,97,0.5,907.3
19.0,96,0.5,907.3
19.7,94,0.3,907.1
20.2,91,0.6,907.0
19.3,95,1.1,906.4
20.0,94,0.8,905.4
19.3,95,0.4,904.9
19.0,95,0.9,905.2
18.5,96,1.0,905.9
18.1,96,0.3,906.5
17.9,96,0.1,907.0
17.8,97,0.3,907.3
17.8,98,0.3,907.8
17.8,98,0.5,907.6
17.9,98,0.5,907.1
17.9,98,0.1,906.7
17.8,97,0.2,906.4
17.6,97,0.1,905.9
17.5,96,0.0,905.9
17.4,96,0.0,906.4
17.3,95,0.0,907.1
17.3,96,0.0,907.4
18.1,93,0.0,907.8
19.7,88,0.0,908.2
20.1,86,0.0,908.2
20.9,83,0.0,908.0
21.4,81,0.0,907.5
22.2,78,0.0,907.2
23.3,74,0.0,907.1
23.7,73,0.0,906.8
23.4,75,0.3,906.3
21.7,86,1.7,906.1
19.3,91,1.0,906.3
18.3,94,0.1,907.0
17.9,95,0.1,907.6
17.7,96,0.1,908.1
17.7,95,0.0,908.7
17.5,95,0.0,908.7
17.2,96,0.0,908.2
17.3,96,0.0,907.6
16.9,97,0.0,906.9
16.9,97,0.0,906.9
17.0,97,0.1,907.1
17.0,97,0.0,907.7
17.1,96,0.1,908.6
17.2,97,0.5,909.0
17.3,97,0.3,909.3
18.1,94,0.3,909.7
18.6,93,0.2,909.7
18.6,93,0.1,909.6
18.2,95,0.2,909.0
18.3,95,0.8,908.9
18.1,96,0.9,908.6
18.1,95,0.3,907.4
17.4,96,0.7,907.0
18.1,93,0.0,907.3
17.3,94,0.0,907.1
17.0,95,0.0,907.4
16.9,96,0.0,907.7
16.5,97,0.0,907.6
16.7,96,0.0,908.3
16.8,96,0.0,908.1
16.8,96,0.0,907.3
16.4,98,0.4,906.7
16.4,98,0.5,906.1
16.2,97,0.1,906.0
15.8,98,0.0,905.7
15.5,97,0.0,906.4
16.5,97,0.0,907.3
17.0,95,0.0,907.8
17.1,96,0.0,907.9
17.8,95,0.0,907.9
18.7,91,0.0,907.9
19.7,89,0.0,907.4
22.8,80,0.1,907.5
23.1,79,0.8,906.9
22.8,82,0.9,906.4
22.5,84,1.2,906.1
22.0,86,1.0,905.6
19.6,95,2.6,904.6
19.5,94,0.8,904.8
18.9,95,1.4,905.4
18.8,95,0.8,906.0
18.7,93,0.6,906.7
18.2,97,1.2,907.5
17.9,98,0.9,907.5
17.8,98,0.6,906.9
17.7,99,0.6,906.5
17.8,99,1.4,906.0
17.8,99,2.7,905.8
18.0,98,1.5,905.8
17.7,97,0.0,906.1
17.7,97,0.0,907.1
18.3,95,0.0,907.8
18.4,93,0.0,908.0
19.0,89,0.0,908.2
20.7,84,0.1,908.9
21.8,82,0.5,908.7
22.2,81,0.8,908.2
21.4,88,1.9,907.7
19.6,94,1.8,906.7
19.8,95,0.2,906.5
20.8,91,1.1,906.4
19.6,95,2.4,906.3
19.0,97,1.4,906.7
18.8,97,0.3,907.3
18.1,96,0.1,907.7
18.4,97,0.0,908.3
17.7,97,0.0,908.7
17.7,97,0.0,908.9
17.6,97,0.0,908.6
17.6,98,0.0,908.4
17.4,98,0.4,908.1
17.1,97,0.0,908.0
16.9,97,0.0,908.2
17.3,97,0.0,908.8
17.8,97,0.0,909.7
18.6,94,0.0,910.4
19.2,93,0.0,910.7
21.1,87,0.3,910.8
21.5,85,0.3,910.5
22.4,82,0.6,910.4
23.1,79,0.8,910.1
23.9,75,0.4,909.9
24.1,73,0.1,909.7
24.0,75,0.4,909.2
23.7,77,0.5,908.9
22.8,85,0.8,908.9
22.1,87,0.9,909.1
20.1,88,0.3,909.6
19.4,90,0.0,910.4
18.9,92,0.0,910.6
18.6,93,0.1,911.1
18.4,94,0.4,911.2
17.8,96,1.6,910.9
17.6,97,0.6,910.6
17.4,97,0.3,910.5
17.3,97,0.1,910.5
17.1,97,0.0,910.5
16.9,97,0.3,910.9
17.3,97,0.4,911.8
18.8,94,0.4,912.6
19.9,92,0.0,913.0
21.7,87,0.0,913.4
23.8,81,1.3,913.6
25.1,75,0.9,913.9
25.7,70,0.7,913.5
26.5,69,0.9,913.2
26.0,68,1.0,912.7
25.8,70,0.4,912.6
25.8,69,0.1,912.4
25.4,72,0.4,912.3
23.8,82,0.5,912.3
21.1,85,0.8,912.3
19.7,89,1.8,912.6
19.1,92,1.2,913.3
19.1,92,0.3,914.0
18.9,93,0.1,914.0
18.7,94,0.0,913.8
18.5,95,0.0,913.3
18.3,96,0.0,913.2
18.2,96,0.0,913.0
18.1,96,0.0,913.1
17.8,96,0.0,913.4
18.0,96,0.0,914.2
19.7,93,0.0,915.1
21.3,89,0.0,915.7
22.8,84,0.0,916.1
24.4,77,0.0,916.3
25.5,71,0.1,916.1
26.9,65,0.1,915.7
27.6,60,0.0,915.1
28.1,58,0.0,914.5
28.3,57,0.0,914.3
28.2,59,0.0,914.1
27.4,70,0.0,914.0
24.5,78,0.1,913.8
21.9,82,0.0,913.8
20.8,84,0.0,914.1
20.4,83,0.0,914.7
20.1,83,0.0,915.2
19.8,84,0.0,915.2
19.2,88,0.0,914.9
18.7,91,0.0,914.4
18.2,93,0.3,913.8
18.2,94,0.0,913.4
18.0,95,0.0,913.5
17.9,95,0.0,913.5
18.3,95,0.0,914.2
19.5,92,0.0,914.6
20.9,88,0.0,915.0
22.7,83,0.0,915.3
25.1,76,0.0,915.7
26.2,70,0.0,915.5
27.4,66,0.2,914.9
27.2,67,1.2,914.2
26.3,69,0.6,913.3
26.4,68,0.7,912.9
25.2,76,1.6,912.3
22.6,84,3.2,912.2
20.5,89,1.2,912.0
20.1,91,0.1,911.9
19.6,92,0.0,912.4
19.6,91,0.0,912.9
19.7,89,0.0,913.3
19.2,91,0.1,913.3
19.2,91,0.0,912.8
19.0,91,0.0,912.0
18.0,92,0.0,911.2
17.4,93,0.0,911.1
17.2,93,0.0,911.0
17.0,93,0.0,911.1
17.3,94,0.0,911.6
19.2,89,0.0,912.1
21.0,82,0.0,912.2
22.6,76,0.0,912.4
23.6,73,0.6,912.5
24.4,73,1.8,912.3
24.0,75,0.1,911.5
24.2,77,1.9,911.1
24.5,75,1.4,911.0
23.6,80,2.1,910.4
22.4,86,2.9,909.5
21.1,89,1.3,909.6
19.6,91,0.7,909.5
19.1,92,0.1,910.2
18.9,93,0.0,910.9
18.6,93,0.0,911.2
18.4,94,0.0,911.4
17.6,96,0.0,911.8
17.3,96,0.0,911.6
17.0,96,0.0,910.9
16.8,96,0.0,910.5
16.5,96,0.0,910.2
16.3,97,0.0,910.1
16.2,97,0.0,910.2
16.5,97,0.0,910.9
18.2,93,0.0,911.9
20.0,87,0.0,912.2
22.0,79,0.0,912.4
23.4,72,0.0,912.3
24.5,69,0.0,912.0
24.8,70,0.4,911.2
24.1,77,0.7,910.4
25.1,70,0.3,910.2
25.4,69,0.2,910.0
24.9,74,0.4,909.5
24.1,79,1.0,909.2
23.1,84,0.8,909.4
20.8,85,0.1,909.6
20.0,88,0.0,910.0
19.1,91,0.1,910.4
18.8,92,0.3,910.9
18.5,93,0.0,911.2
18.3,94,0.0,911.2
18.1,94,0.0,910.7
17.9,94,0.0,910.0
17.5,94,0.0,909.8
17.3,94,0.0,910.1
17.1,94,0.0,910.4
17.4,94,0.0,911.4
19.3,90,0.0,912.2
21.1,85,0.0,912.7
23.0,80,0.0,913.0
25.1,73,0.0,913.2
25.5,71,0.8,913.0
25.6,70,1.0,912.6
26.4,67,0.5,912.3
26.8,65,0.5,911.8
27.1,62,0.0,911.6
27.0,63,0.0,911.2
25.6,75,0.4,910.7
23.6,83,0.4,910.5
21.2,85,0.1,910.6
20.5,86,0.0,911.4
19.5,90,0.8,911.7
19.4,89,0.3,912.3
19.0,90,0.0,912.3
18.8,91,0.0,912.1
18.4,92,0.1,912.0
18.2,92,0.0,911.8
17.8,93,0.0,911.4
17.3,94,0.4,911.6
16.8,95,0.3,911.8
17.0,96,0.2,912.5
18.9,93,0.0,913.2
20.9,88,0.0,913.8
23.1,81,0.0,914.2
25.2,74,0.0,914.4
26.6,68,0.3,914.6
27.9,60,0.0,914.5
28.6,55,0.0,914.0
28.7,51,0.0,913.3
27.5,60,0.0,912.6
25.0,72,0.0,911.7
24.5,72,0.0,911.7
23.4,79,0.0,912.0
20.9,79,0.0,912.2
20.2,79,0.1,912.5
19.2,81,0.3,912.5
18.7,82,0.0,912.9
18.2,84,0.0,913.1
17.7,86,0.0,912.9
17.4,90,0.0,912.2
17.2,92,0.0,911.9
16.9,93,0.0,911.8
16.7,93,0.0,911.6
16.5,94,0.0,911.9
16.8,93,0.0,912.6
18.7,89,0.0,913.1
20.6,83,0.0,913.3
22.4,77,0.0,913.5
24.5,72,0.0,913.7
26.2,66,0.0,913.8
26.9,62,0.0,913.4
27.0,60,0.0,912.4
27.4,58,0.0,911.9
27.2,59,0.0,911.3
26.8,61,0.0,910.8
26.2,70,0.1,910.5
24.0,78,0.3,910.5
21.3,84,0.0,910.6
20.2,87,0.0,910.7
19.9,85,0.0,910.7
19.5,86,0.0,911.0
19.1,87,0.0,910.8
18.8,88,0.0,910.4
18.4,90,0.0,910.1
18.1,92,0.0,909.8
17.7,93,0.0,909.4
17.4,93,0.0,909.4
17.1,94,0.0,909.5
17.3,93,0.0,910.0
19.2,88,0.0,910.9
21.0,83,0.0,911.5
22.8,77,0.0,911.9
24.5,71,0.0,911.9
26.0,66,0.0,911.7
27.5,62,0.0,911.5
28.2,58,0.0,910.9
28.3,56,0.0,910.2
27.6,58,0.0,909.6
26.8,64,0.0,909.0
26.1,69,0.2,908.8
23.4,80,0.8,908.5
21.2,80,0.0,908.8
20.4,82,0.0,909.5
20.1,84,0.0,909.8
19.6,87,0.0,910.3
19.1,90,0.0,910.2
18.8,93,0.0,910.1
18.5,95,0.0,909.8
18.3,96,0.0,909.5
18.2,96,0.0,909.1
18.0,96,0.0,909.2
17.8,96,0.0,909.8
18.8,95,0.0,910.7
19.4,94,0.0,911.3
19.9,93,0.0,911.4
20.7,90,0.1,911.7
21.7,86,0.3,911.7
23.4,79,0.3,911.5
25.9,72,0.6,911.6
26.9,68,0.6,911.1
27.1,67,0.5,910.3
26.8,67,0.6,909.6
26.5,67,0.2,909.1
25.8,71,0.4,908.8
23.8,81,1.5,908.6
21.2,83,0.5,908.6
20.0,89,0.4,909.1
19.8,90,0.5,909.7
19.7,90,0.0,910.3
19.4,91,0.0,910.5
19.0,92,0.0,910.2
18.7,94,0.0,909.6
18.4,94,0.0,909.2
18.2,95,0.0,909.0
18.0,96,0.0,909.0
18.1,96,0.0,909.3
18.3,96,0.0,910.0
19.7,93,0.0,910.6
21.2,88,0.0,911.3
22.9,79,0.0,911.7
24.1,71,0.0,911.7
24.9,66,0.0,911.3
25.8,64,0.0,910.9
26.6,62,0.0,910.6
27.1,61,0.0,910.2
27.2,62,0.0,909.7
25.7,71,0.4,908.9
25.5,77,0.3,908.8
24.4,81,0.1,908.5
21.5,86,0.0,908.5
20.7,88,0.1,908.8
19.3,91,1.4,908.8
19.1,92,0.8,909.4
19.0,92,0.0,909.7
18.8,93,0.0,909.5
18.6,93,0.0,909.0
18.3,94,0.0,908.7
18.0,95,0.0,908.7
17.7,95,0.0,908.7
17.5,95,0.0,909.2
17.6,95,0.0,909.9
19.3,91,0.0,910.7
21.1,86,0.0,911.0
22.8,78,0.0,911.0
24.2,71,0.0,910.9
25.3,67,0.0,910.6
26.0,66,0.0,910.0
26.7,64,0.0,909.5
26.9,63,0.1,909.0
26.6,65,0.4,908.7
26.0,68,0.6,908.5
25.7,71,0.1,908.2
24.4,79,0.1,907.9
21.6,84,0.1,907.3
19.7,90,0.9,907.4
18.9,94,1.4,908.0
18.5,93,0.0,908.7
18.2,94,0.0,908.6
18.0,94,0.0,908.6
17.6,95,0.0,908.3
17.4,95,0.0,908.4
17.1,95,0.0,908.2
16.9,95,0.0,908.5
16.7,94,0.0,908.9
16.8,94,0.0,909.4
18.5,91,0.0,910.1
20.1,86,0.0,910.6
21.8,79,0.0,910.9
23.5,71,0.0,910.9
25.2,66,0.0,910.6
25.9,63,0.2,910.2
26.2,62,0.4,909.7
26.1,62,0.2,908.9
26.2,62,0.2,908.4
25.5,69,0.0,907.7
25.1,70,0.5,907.5
23.2,78,0.7,907.6
20.7,79,0.0,907.4
19.8,82,0.0,907.8
19.3,84,0.0,908.4
18.8,87,0.0,908.8
18.0,91,0.0,909.0
17.7,91,0.0,909.0
17.4,92,0.1,908.7
17.1,92,0.0,908.3
16.7,92,0.0,908.5
16.3,93,0.0,908.6
16.0,93,0.0,908.9
16.1,93,0.0,909.1
18.0,89,0.0,909.8
19.8,84,0.0,910.2
21.5,78,0.0,910.3
23.3,71,0.0,910.5
24.8,66,0.0,910.2
25.1,66,0.5,909.3
25.8,63,0.5,908.6
25.9,63,0.5,907.8
25.6,65,0.7,907.8
25.3,67,0.4,907.5
24.0,79,1.0,906.9
21.9,88,0.8,906.5
19.7,90,3.9,906.5
18.8,92,1.5,907.2
18.8,90,1.6,907.9
18.1,93,1.4,908.5
18.2,92,0.2,908.8
17.9,92,0.0,908.6
17.5,93,0.0,908.2
17.3,93,0.0,907.9
16.9,94,0.0,907.7
16.6,95,0.0,907.5
16.4,95,0.0,907.5
16.5,95,0.0,908.0
18.1,92,0.0,908.7
19.8,86,0.0,909.0
21.4,81,0.0,909.4
23.1,74,0.0,909.6
24.2,70,0.1,909.3
24.5,70,0.6,908.6
25.3,66,0.2,908.2
25.4,67,0.4,907.3
25.0,69,0.2,906.8
25.3,67,0.0,906.5
24.5,73,0.1,906.1
23.1,83,0.4,906.0
20.3,85,0.7,905.8
19.6,87,0.0,906.6
19.4,88,0.0,907.1
18.9,89,0.0,907.5
18.6,90,0.0,907.6
18.2,90,0.0,907.4
18.0,91,0.0,907.0
17.8,91,0.0,906.6
17.6,92,0.0,906.4
17.4,93,0.0,906.2
17.1,93,0.0,906.4
17.2,94,0.0,906.8
18.8,91,0.0,907.4
20.4,86,0.0,907.8
22.3,80,0.1,907.8
23.9,72,0.4,907.9
25.0,65,0.0,907.8
24.9,67,0.5,907.3
25.4,65,0.1,906.6
25.3,67,0.4,905.8
23.8,78,0.6,905.1
23.4,78,0.8,904.8
23.0,80,0.8,904.6
22.4,82,0.4,904.8
20.2,83,0.0,904.7
19.5,85,0.0,905.5
19.1,87,0.0,906.1
18.8,88,0.0,906.5
18.6,90,0.0,906.5
18.1,93,1.0,906.3
17.8,95,1.5,905.7
17.7,96,0.7,905.4
17.6,96,0.3,905.1
17.3,97,1.2,905.2
17.2,98,0.7,905.5
17.4,98,0.7,906.2
18.4,96,0.7,907.2
19.9,91,0.5,907.5
22.3,82,0.9,907.7
23.2,78,0.6,907.8
23.5,76,0.9,907.5
24.2,73,0.5,907.3
24.6,70,0.4,907.0
24.7,70,0.3,906.8
23.8,76,0.6,906.4
23.0,81,1.3,906.2
22.2,88,0.8,906.1
20.6,92,1.4,905.9
19.0,92,2.2,906.4
18.7,95,1.0,907.3
18.4,96,1.2,908.1
18.1,96,1.4,908.9
18.0,97,0.8,909.0
17.9,97,0.7,909.0
17.9,98,0.7,908.6
17.7,98,1.1,908.2
17.8,99,0.7,907.9
17.7,99,1.0,907.7
17.6,99,3.0,908.2
17.7,99,0.4,908.6
17.8,98,0.1,909.1
18.9,93,0.0,909.7
19.1,94,0.1,909.6
19.4,93,0.0,909.4
20.5,90,0.4,909.2
20.9,89,0.3,908.7
20.4,92,0.5,908.1
23.3,79,0.4,908.2
23.4,81,0.9,907.9
21.3,91,1.1,907.1
22.1,88,1.3,907.4
20.9,93,1.3,907.3
19.7,94,1.5,907.5
19.3,95,1.9,908.3
19.0,95,1.2,909.0
18.4,97,0.8,909.4
18.2,98,0.3,909.4
17.9,99,1.6,908.9
17.9,99,3.3,908.6
17.9,99,1.7,908.3
17.7,99,2.6,907.8
17.7,99,2.0,907.8
17.8,99,0.4,908.1
17.9,99,0.2,908.6
18.2,98,0.0,909.3
18.5,98,0.1,909.6
19.0,97,0.5,909.8
19.1,96,1.3,910.2
19.6,94,0.5,910.0
19.3,96,0.2,909.4
19.5,94,0.0,908.7
21.4,88,0.2,908.3
21.8,87,0.8,908.1
20.7,93,0.9,907.4
20.6,94,0.9,907.1
20.3,94,0.7,907.4
18.9,95,1.2,907.8
19.2,94,0.7,908.6
19.3,92,0.3,908.9
19.0,94,0.7,909.4
18.8,97,1.0,909.2
18.5,97,0.3,908.7
18.4,98,0.1,908.3
18.3,98,0.3,907.9
18.2,98,0.2,907.9
18.0,97,0.0,907.9
17.7,97,0.0,908.3
17.7,97,0.0,908.9
18.0,96,0.0,909.5
18.1,97,0.1,910.0
18.3,97,0.1,910.3
18.5,97,0.0,910.3
21.4,87,0.0,910.9
21.1,87,0.0,910.3
20.4,89,0.0,909.7
23.5,79,0.5,909.7
21.6,87,0.7,908.5
21.4,90,0.7,908.1
22.5,86,1.0,908.3
21.4,91,1.5,908.4
20.0,92,1.1,908.9
19.6,90,0.9,909.5
19.3,91,0.2,910.3
18.5,95,0.6,910.8
18.1,97,0.5,910.7
18.0,98,0.4,910.4
17.9,98,0.4,910.1
17.9,98,0.1,909.7
17.7,98,0.0,909.7
17.7,98,0.0,910.0
17.6,98,0.0,910.2
17.6,98,0.0,910.8
17.9,97,0.0,911.4
18.5,96,0.0,912.0
18.8,95,0.0,912.1
19.1,95,0.0,912.2
20.3,90,0.0,912.2
20.3,91,0.2,911.8
19.4,96,0.8,911.0
19.5,96,0.2,910.5
19.4,96,0.1,910.2
19.3,96,0.0,910.2
19.5,93,0.0,910.1
19.5,93,0.0,910.5
18.6,95,0.0,910.5
18.5,95,0.0,910.8
18.3,95,0.0,911.1
18.2,95,0.0,911.4
18.1,95,0.0,911.4
18.0,96,0.0,911.1
17.8,96,0.0,910.6
17.8,96,0.0,910.1
17.7,96,0.0,910.0
17.7,96,0.0,910.1
17.7,96,0.0,910.3
17.5,97,0.0,910.8
18.6,94,0.0,911.6
20.1,90,0.0,912.1
21.5,84,0.4,912.6
22.0,82,0.3,912.4
20.9,89,0.2,911.5
22.1,82,0.0,910.7
24.6,73,0.0,910.6
23.1,80,0.4,909.5
19.6,95,0.1,908.1
19.6,94,0.0,907.8
20.5,89,0.0,908.1
20.7,89,0.0,908.6
18.8,92,0.0,908.3
18.4,92,0.0,908.9
18.2,92,0.0,909.4
18.0,92,0.0,910.0
18.0,91,0.3,910.2
18.1,91,0.4,909.9
18.0,92,0.6,909.6
18.1,92,0.2,909.1
18.0,93,0.0,909.1
17.9,94,0.0,909.3
17.2,95,0.0,909.2
17.2,96,0.0,909.7
18.4,96,0.0,910.5
20.0,93,0.0,911.0
20.6,90,0.0,911.1
22.4,82,0.0,911.1
24.1,75,0.0,910.8
24.2,77,0.5,910.2
24.0,79,0.8,909.6
23.4,84,1.2,908.7
24.1,82,2.0,908.4
24.0,82,1.2,907.9
23.8,84,0.6,907.8
22.8,89,0.3,907.7
21.1,91,0.5,907.6
20.1,94,2.5,908.0
19.9,95,1.6,908.3
19.7,96,2.2,908.6
19.4,97,1.2,908.4
19.3,97,1.1,908.2
19.2,97,0.9,907.7
19.0,97,0.8,907.4
18.7,98,0.0,907.4
18.2,98,0.0,907.2
17.8,98,0.0,907.3
17.7,98,0.0,908.1
19.2,96,0.0,909.0
20.7,92,0.0,909.5
22.1,87,0.0,909.8
23.3,81,0.0,909.5
24.8,76,0.0,909.2
24.9,78,1.1,908.5
24.7,80,1.2,907.9
24.0,83,0.7,906.9
24.2,83,1.7,906.6
24.0,85,0.9,906.2
23.3,88,0.9,906.1
22.2,90,0.5,906.3
20.9,89,0.5,906.3
20.4,91,0.6,906.8
19.8,95,1.6,907.6
19.6,97,1.2,908.4
19.4,98,1.5,908.6
19.0,98,1.0,908.4
18.8,98,1.2,907.9
18.7,98,0.8,907.5
18.7,96,1.7,907.4
18.6,96,0.1,907.3
18.5,97,0.3,907.6
18.5,98,0.3,908.1
18.7,98,0.1,908.9
19.2,97,0.0,909.2
19.5,97,0.1,909.5
20.3,94,0.2,909.7
20.6,94,0.3,909.4
21.0,93,0.5,909.0
22.3,90,0.8,908.6
22.4,89,1.2,907.8
21.3,94,1.1,906.9
20.9,94,0.7,906.4
20.2,97,1.1,906.1
19.7,98,2.5,906.4
19.4,99,3.7,907.0
19.1,99,4.2,907.6
19.0,99,5.3,908.2
19.1,99,5.3,908.7
19.1,100,2.9,908.8
18.9,99,1.8,908.7
18.8,99,1.6,908.0
18.7,99,2.1,907.6
18.5,99,2.0,907.4
18.5,99,1.1,907.4
18.3,99,0.5,907.5
18.2,99,0.2,908.1
18.4,98,0.2,908.8
18.6,98,0.6,909.1
18.9,97,0.7,909.4
19.6,93,0.1,909.6
20.0,92,0.1,909.6
20.0,93,0.3,909.3
19.8,94,0.3,909.0
19.7,94,0.1,908.5
19.6,95,0.2,908.1
19.8,94,0.0,907.7
19.7,95,0.1,907.5
19.1,95,0.3,907.7
18.6,97,0.2,907.9
18.3,98,0.5,908.5
18.2,97,0.3,908.8
18.2,97,0.0,909.0
18.0,96,0.0,908.6
18.0,96,0.0,908.4
18.0,96,0.0,907.9
18.0,97,0.0,907.4
18.0,97,0.2,907.2
18.0,98,0.1,907.1
18.0,97,0.0,907.1
18.1,97,0.0,907.7
18.2,97,0.1,908.4
18.4,97,0.1,908.8
18.6,97,0.1,909.0
18.6,97,0.6,908.9
18.6,97,0.6,908.5
18.6,97,0.5,907.9
19.2,94,0.1,907.4
20.3,91,0.0,906.9
21.7,86,0.0,906.8
22.8,81,0.0,906.8
22.2,85,0.8,906.7
20.9,91,1.2,906.7
19.2,93,0.5,907.0
18.5,95,0.1,907.7
18.1,96,0.2,908.4
18.0,96,0.0,908.8
17.9,97,0.0,908.7
17.9,97,0.0,908.5
17.7,97,0.0,908.4
17.4,97,0.2,907.8
17.3,97,0.0,907.3
17.0,97,0.0,907.3
16.7,97,0.0,907.6
16.7,97,0.0,908.1
17.0,96,0.0,908.8
17.2,95,0.0,908.9
17.2,95,0.0,909.0
17.6,93,0.0,909.0
18.5,89,0.0,908.9
19.1,86,0.0,908.4
19.5,84,0.0,907.8
20.0,81,0.0,907.2
19.8,82,0.0,906.7
19.0,86,0.0,906.2
19.0,86,0.0,906.3
18.9,88,0.0,906.8
16.8,93,0.0,907.0
16.0,93,0.0,907.5
15.7,93,0.0,908.1
15.5,94,0.0,908.3
15.4,94,0.0,908.3
15.7,93,0.0,908.1
16.5,90,0.0,908.1
16.6,90,0.0,907.6
16.7,90,0.0,907.7
16.7,90,0.0,907.9
16.6,90,0.0,908.1
16.6,90,0.0,908.4
16.9,91,0.0,909.1
17.5,89,0.0,909.4
18.1,88,0.0,909.5
19.2,84,0.0,909.7
20.6,83,0.0,909.7
20.6,85,0.1,909.1
20.9,84,0.1,908.5
21.2,84,0.0,907.6
21.5,83,0.1,907.4
21.1,84,0.0,907.0
20.8,85,0.0,907.2
20.0,90,0.0,907.5
19.0,92,0.0,907.9
18.3,94,0.0,908.1
17.9,96,0.0,908.7
17.3,96,0.0,909.3
16.8,97,0.0,909.2
16.5,96,0.0,908.8
16.6,95,0.0,908.6
16.8,95,0.0,908.4
17.6,94,0.0,908.7
17.7,94,0.0,908.6
17.7,94,0.1,908.8
17.2,97,0.5,909.3
17.8,96,0.1,909.9
18.1,95,0.0,909.9
20.3,88,0.0,910.3
